基于3D打印的现代首饰产品设计研究,"['胡玉平', '张贤富']",西部皮革,2021-09-15,期刊,,115
3D打印的口腔修复用医疗器械研发进程和注册要求概述,"['仉琪', '李耀华']",中国医疗器械信息,2021-09-15,期刊,,13
中国传统室内陈设借助3D打印技术实现创新发展的路径,['汪明镜'],产业创新研究,2021-09-15,期刊,,9
3D打印技术在模具中的应用,"['田芳', '庞旭刚']",包头职业技术学院学报,2021-09-15,期刊,,11
金属零部件加工中融合3D打印技术的应用研究,"['雷佩', '王静静']",中国金属通报,2021-09-15,期刊,,3
3D打印新技术推动传统古建文化传承,[],科技日报,2021-09-15,报纸,,53
基于3D打印的随形冷却水路注塑模具设计,['吴坤生'],现代职业教育,2021-09-15,期刊,,63
基于光固化3D打印的陶瓷快速无模成型技术的研究进展,"['杨娜娜', '刘浩锐', '贺立群', '刘馨']",陇东学院学报,2021-09-13,期刊,,310
基于FDM技术的3D打印首饰模型铸造工艺设计,"['李园', '文海']",现代电子技术,2021-09-10,期刊,,267
3D打印具有形状记忆效应的TPU/PCL复合材料研究,"['曾娇', '汪艳', '何畯涛', '郑银松', '陶永祥']",工程塑料应用,2021-09-10,期刊,,179
3D打印技术在机械设计中的应用,"['张鑫', '冯清']",集成电路应用,2021-09-10,期刊,,205
基于二分法的3D打印切片数据精简,[''],机械工程师,2021-09-10,期刊,,45
福特和日产使用惠普3D打印解决生产可持续性问题,['刘金城'],铸造,2021-09-10,期刊,,4
对3D打印技术的“智造型”创新人才培养与实践论述,"['孟瑞芳', '司俊男', '司闲']",今日财富(中国知识产权),2021-09-10,期刊,,11
“中国3D打印之父”卢秉恒的擎天梦,['于于'],时代邮刊,2021-09-06,期刊,,16
基于3D打印成形技术下的萝卜切丝机的设计,"['蔡斌', '潘飞鸽', '何康', '吴波']",科学技术创新,2021-09-05,期刊,,69
浅议3D打印的艺术审美及文化价值取向,['杨放'],明日风尚,2021-09-05,期刊,,35
基于Geomagic Design X的产品建模研究与3D打印成型——以内燃机连杆为例,['李小明'],内燃机与配件,2021-09-03,期刊,,115
浅析BIM+3D打印在装配式建筑中的应用,['蔡晓莉'],产业与科技论坛,2021-09-01,期刊,,173
DLP光固化3D打印精密铸造陶瓷型壳的研究,"['杨建明', '肖志文', '王永宽', '石国杰', '陈劲松']",制造技术与机床,2021-09-01,期刊,,302
3D打印技术在广告发光字领域的应用研究,"['梁孟享', '姚文龙', '胡铁力']",数字通信世界,2021-09-01,期刊,,17
打印参数对未漂洗鲟鱼糜凝胶3D打印成型效果的影响,"['向晨曦', '李钰金', '高瑞昌', '白帆', '汪金林', '', '赵元晖']",食品工业科技,2021-08-31,期刊,,134
基于3D打印技术的重金属离子检测盒设计与实验,"['孟少明', '李培', '谭海林', '陈艳', '唐前鹏']",锻压装备与制造技术,2021-08-31,期刊,,62
世界第一例可移动3D打印复制洞窟彩绘工程——云冈石窟第12窟3D打印作品彩绘,['董凯'],石窟寺研究,2021-08-31,辑刊,,11
